Date,Type,Indicator,Description
2020-06-15,Domain,z2uymda1mtk.top,Domain C2
2020-06-15,Domain,documento.smarterrealestateinvesting.com,Domain delivery
2020-06-15,IP,31.214.157.27,IP delivery
2020-06-15,IP,185.219.221.102,IP C2
2020-06-15,SHA256,ad6db438312eeb3bfbe14c3125ff4b649092a8177ef6c630b0164e73e6cd7d82,WindowsIndexingService.vbs
2020-06-18,SHA256,d16aaf5e84e8745618747d610a2edf8a20c9c57cce07e6838b70efca3bf7c66c,MicrosoftWord_e880c7b8fb4b7601ce0583ec5d896d5e.zip
2020-06-18,Domain,documento.selltokengarffhonda.com,Domain delivery	
2020-06-18,IP,194.76.224.223,IP delivery
2020-06-18,SHA256,53a6c88f64902b236f85e866f5c43f3ab6c71c86b343ad417ff447805045c974,layer1.vbs
2020-06-18,SHA256,3169cc582064e827b9ca8ea650fab482b3cf2f97f30c842b1697b6e7af3cd3d9,downloadstagger.ps1
2020-06-18,SHA256,60e47b6ee3cd5fc611e2efd21427324ae1d044f3ab940353266a3ba85401b498,layer2.ps1
2020-06-18,SHA256,d905b8a215a9bf8f9e48c2d4456d9cf303bdb2340a6c5682950d5a7517762b19,jasper180620.ps1
